question;A;B;C;D;answer;model_answer;is_correct
4. Kā vislabāk aprakstīt saistību starp valsts centrisko pieeju un cilvēkdrošības jēdzienu?;Cilvēkdrošības ietvarā pastāv tik lielas atšķirības attiecībā uz draudu un atsauces objektu būtību, ka nav iespējams veikt plaši piemērojamus salīdzinājumus starp valsts centriskajām pieejām un cilvēkdrošību.;Pieņemot cilvēkdrošības ietvaru, kļūst acīmredzami reālistiskās valsts centriskās pieejas ierobežojumi. Lai gan cilvēkdrošība definē atsauces objektu kā personu vai iedzīvotāju skaitu, valsts centriskās pieejas prioritāti piešķir valsts drošībai, atceļot cilvēkdrošības centienus.;Valsts centriskā pieeja drošībai ir cilvēkdrošības daļa, kas parasti tiek definēta plašajā cilvēkdrošības skolā. Tā kā šī pieeja ir valsts centriska, tā drošības pētījumos prioritāti piešķir indivīdam kā atsauces objektam.;Gan valsts centriskā, gan cilvēkcentriskā pieeja drošībai ir savstarpēji izslēdzošas un piedāvā pietiekamu analītisko ietvaru, ar kura palīdzību izprast starptautisko drošības sistēmu. Tāpēc drošības analītiķu uzdevums ir noteikt, kurš no šiem būtiskajiem jēdzieniem ir pareizs un kurš būtu jāatmet.;B;A;FALSE
5. Kādos analīzes ietvaros terorisms tiek aplūkots (kopš 2020. gada)?;Konkurence starp lielākām valstīm ir novedusi pie tā, ka dažas valstis aktīvi atbalsta teroristu grupas, lai mazinātu konkurējošo valstu spēku. Teroristu tīkli ir paplašināti patronāžas klubi, ko uztur un finansē to donorvalstis, un tie tiek konceptualizēti kā līdzīgi valstiski dalībnieki, ar kuriem jācīnās, izmantojot militāru spēku.;Globalizācija ir ļāvusi internacionalizēt teroristu darbības, atverot to darbības telpu, lai gan koordinācija joprojām tiek pārvaldīta no ģeogrāfiskas bāzes. Tas liek domāt, ka teroristu grupas ir strukturētas nacionāli, kas nozīmē, ka terorismu nevar uzskatīt par karu, kas jāuzvar militāri, neradot nopietnas sekas pamatiedzīvotājiem.;Terorismu var uzskatīt par problēmu, kas jārisina ar militāriem līdzekļiem (karš pret terorismu), ar parastām policijas metodēm (terorisms kā noziegums) vai par medicīnisku problēmu ar pamatcēloņiem un simptomiem (terorisms kā slimība).;Terorisms tiek uzskatīts par kriminālu problēmu. Terorisma kriminalizācijai ir divas svarīgas sekas. Pirmkārt, tā liek domāt, ka terorismu var izskaust — teroristus var notvert un saukt pie atbildības parastā tiesas procesā, tādējādi novēršot draudus sabiedrībai —, un, otrkārt, tā liek domāt, ka preventīvās noziedzības metodes ir piemērojamas, lai novērstu tā attīstību.;C;A;FALSE
1. Kāpēc parvovīrusi ir ļoti ietekmīgi parazīti?;"Tā kā tiem nav nukleīnskābes;";"Tiem nepieciešams palīgvīruss;";"Replicē tikai dalošās šūnās;";Var integrēties saimnieka hromosomās.;A;A;TRUE
2. Kura no tālāk minētajām ir paramiksovīrusu morfoloģiskā īpašība?;"Trausli vīrusi, kas bieži vizualizējami ar RNS izšļakstīšanos no iekšpuses;";"Iegareni vīrusi;";"Ikozaedriski vīrusi ar apvalku;";Ļoti lieli vīrusi.;A;A;TRUE
3. Galvenais faktors, kas veicināja ligzdotu gadījumu kontroles pētījumu piemērošanu no MACS, bija:;"Datu vākšana;";"Bioloģisko paraugu krātuves izveide;";"Dalībnieku intereses;";Personāla veikta anketas administrēšana.;B;B;TRUE
4. Uzvedības intervences vissvarīgākais mērķis ir:;"Uzvedības maiņa;";"Visaptverošs pārklājums;";"Uzvedības teorijas efektīva izmantošana;";Ilgstoša uzvedības maiņa.;D;D;TRUE
5. Vidējais izdzīvošanas laiks līdz AIDS un nāvei tika noteikts, ņemot vērā sekojošo:;"Seroprevalenti HIV inficēti indivīdi;";"Seronegatīvi;";"Serokonverteri;";Augsta riska seronegatīvi.;C;C;TRUE
1. Psiholoģiskais egoisms ir:;ētiska teorija par to, kā mums vajadzētu uzvesties;vispārinājums par to, kā cilvēki mēdz uzvesties;apgalvojums par cilvēka dabu un veidiem, kā cilvēki spēj uzvesties;neviens no iepriekšminētajiem;C;C;TRUE
"2. Saskaņā ar Mūra ""ideālo utilitārismu"" pareizā rīcība ir tā, kas sniedz vislielāko daudzumu:";"Prieku;";"Laimi;";"Labumu;";Tikumību.;C;C;TRUE
3. Saskaņā ar d'Holbaha uzskatiem, cilvēki vienmēr rīkojas saskaņā ar _____.;"brīva izvēles;";"dvēseles diktāts;";"nepieciešamie dabas likumi;";nenoteikta griba.;C;C;TRUE
4. Pirms Tolstoja pievēršanās kristietībai, kāds bija viņa skatījums uz dzīves jēgu?;"Optimists;";"Apmierināts;";"nomināli reliģiozs;";pessimists.;D;D;TRUE
1. Kāda ir derības zīme ebreju vīriešiem?;Varavīksne;Apgraizīšana;Dēls;Bar micva;B;B;TRUE
2. Kas ir otrais dārgakmens budismā?;Dharma;Sangha;Buda;Bodisatva;A;A;TRUE
"3. Kurā dinastijā tika izstrādāts ""Debesu mandāts"", lai leģitimizētu jaunos valdniekus?";Šans;Džou;Hans;Sja;B;B;TRUE
4. Kura Japānas valdība veicināja sava veida nacionālo kultu, kura pamatā bija imperators un viņa saistība ar kami?;Honens;Tanaka;Tokugava;Meidži;D;D;TRUE
5. Kā var raksturot Upanišadas?;Rituālu teksti;Filozofiskie teksti;Himnas;Izcelsmes stāsti;B;B;TRUE
1. Kā 2008. gada finanšu krīze ietekmēja Amerikas starptautisko reputāciju?;Tā sabojāja atbalstu ASV politiskās ekonomikas un kapitālisma modelim;Tā radīja dusmas uz Amerikas Savienotajām Valstīm par krīzes pārspīlēšanu;Tā palielināja atbalstu Amerikas globālajai līderībai prezidenta Obamas vadībā;Tā samazināja ASV dolāra globālo izmantošanu;A;A;TRUE
2. Kā NSC-68 mainīja ASV stratēģiju?;Tā globalizēja ierobežošanu;Tā militarizēja ierobežošanu;Tā aicināja izstrādāt ūdeņraža bumbu;Viss iepriekš minētais;D;D;TRUE
3. Politikas lēmumu joma, kas galvenokārt attiecas uz attiecībām starp Amerikas Savienotajām Valstīm un pārējo pasauli, ir pazīstama kā;terorisma politika,;ekonomikas politika,;ārpolitika,;starptautiskā politika;C;C;TRUE
4. Kā aizsardzības reālisms un ofensīvais reālisms atšķiras valstu uzvedības skaidrojumā?;Aizsardzības reālisti lielāku uzsvaru liek uz starptautisko institūciju lomu.;Aizsardzības reālisti lielāku uzsvaru liek uz starptautisko institūciju lomu.;Ofensīvais reālisti lielāku prioritāti piešķir nacionālajām interesēm nekā aizsardzības reālisti.;Aizsardzības reālisti uzskata, ka valstis maksimizē drošību, savukārt ofensīvie reālisti uzskata, ka valstis maksimizē varu.;D;D;TRUE
5. Kā Donalds Tramps uzbruka globalizācijai 2016. gada vēlēšanu kampaņā?;Globalizācija bija padarījusi tādus vīriešus kā viņš pārāk bagātus;Globalizācija nāca par labu tikai atsevišķiem Amerikas štatiem, piemēram, Ņujorkai;"Liberālā elite bija veicinājusi globalizāciju, savukārt ""parastie amerikāņi"" tās dēļ zaudēja darbu";Globalizācija veicināja postošus tirdzniecības karus;C;C;TRUE
1. Kurš no tālāk minētajiem ir ierīces lietošanas piemērs lietu internetā (IoT)?;Automašīna brīdina vadītāju, ka tā tūlīt uzbrauks objektam.;Pārgājējs izmanto GPS pulksteni, lai sekotu līdzi savai atrašanās vietai.;Ledusskapis pasūta pienu no tiešsaistes piegādes pakalpojuma, kad piens ledusskapī ir gandrīz beidzies.;Skrējējs izmanto pulksteni ar optiskajiem sensoriem, lai uzraudzītu savu sirdsdarbības ātrumu.;C;C;TRUE
2. Daudzas tīmekļa pārlūkprogrammas ļauj lietotājiem atvērt anonīmus logus. Pārlūkošanas sesijas laikā anonīmā logā pārlūkprogramma neieraksta pārlūkošanas vēsturi vai lejupielādēto failu sarakstu. Izejot no anonīma loga, sesijas laikā izveidotās sīkdatnes tiek dzēstas. Kurš no šiem apgalvojumiem par pārlūkošanas sesijām anonīmā logā ir patiess?;Lietotāja, kas pārlūko anonīmā logā, darbības nebūs redzamas personām, kuras pārrauga lietotāja tīklu, piemēram, sistēmas administratoram.;Preces, kas ievietotas interneta veikala iepirkumu grozā turpmākai iegādei anonīmas pārlūkošanas sesijas laikā, netiks saglabātas lietotāja datorā.;Lietotājs anonīmas pārlūkošanas sesijas laikā nevarēs pieteikties e-pasta vai sociālo mediju kontos.;Lietotājs, kas pārlūko anonīmā logā, būs aizsargāts no vīrusiem, kas tiek palaisti no visām apmeklētajām tīmekļa vietnēm vai lejupielādētajiem failiem.;B;B;TRUE
"3. Kāda ir ""abc""[::-1] izvade Python 3?";Error;Abc;Cba;C.;C;C;TRUE
"5. ""Skaitļu sarakstā ir n elementi, kas indeksēti no 1 līdz n. Šis algoritms ir paredzēts, lai parādītu to saraksta elementu skaitu, kuru vērtība ir lielāka par 100. Algoritms izmanto mainīgos count un position. 3. un 4. darbība trūkst. 1. darbība: Iestatiet count uz 0 un position uz 1. 2. darbība: Ja elementa vērtība indeksa pozīcijā ir lielāka par 100, palieliniet count vērtību par 3. darbība: (trūkstošais solis) 4. darbība: (trūkstošais solis) 5. darbība: Attēlojiet count vērtību. Kuru no tālāk minētajām darbībām varētu izmantot, lai aizstātu 3. un 4. darbību, lai algoritms darbotos, kā paredzēts?";3. solis: Palieliniet pozīcijas vērtību par 1. 4. solis: Atkārtojiet 2. un 3. soli, līdz skaitļa vērtība ir lielāka par 100.;3.. solis: Palieliniet pozīcijas vērtību par 1. 4. solis: Atkārtojiet 2. un 3. soli, līdz skaitļa vērtība ir lielāka par n.;3. solis: Atkārtojiet 2. soli, līdz skaitļa vērtība ir lielāka par 100. 4. solis: Palieliniet pozīcijas vērtību par 1.;3. solis: Atkārtojiet 2. soli, līdz skaitļa vērtība ir lielāka par n. 4. solis: Palieliniet skaitļa vērtību par 1.;D;D;TRUE
"2. Noteiktai cauruļvada RISC mašīnai ir 8 vispārējas nozīmes reģistri R0, R1, ..., R7, un tā atbalsta šādas darbības. SASKAITĪT Rs1, Rs2, Rd Saskaitīt Rs1 Rs2 un ievietot summu Rd. MUL Rs1, Rs2, Rd Reizināt Rs1 ar Rs2 un ievietot reizinājumu Rd. Darbība parasti aizņem vienu ciklu; tomēr operācija aizņem divus ciklus, ja tā rada rezultātu, ko pieprasa nākamā operācija operāciju secībā. Apsveriet izteiksmi AB + ABC + BC, kur mainīgie A, B, C atrodas reģistros R0, R1, R2. Ja šo trīs reģistru saturu nedrīkst mainīt, kāds ir minimālais pulksteņa ciklu skaits, kas nepieciešams operāciju secībai, kas aprēķina AB + ABC + BC vērtību?";5,;6,;7,;8.;B;B;TRUE
"3. ""Singleton dizaina modelis tiek izmantots, lai garantētu, ka var tikt izveidots tikai viens klases eksemplārs. Kurš no tālāk minētajiem apgalvojumiem ir patiess attiecībā uz šo dizaina modeli?";tikai I,;tikai II,;tikai III,;I, II un III.;D;D;TRUE
4. Kompilators ģenerē kodu šādam piešķiršanas priekšrakstam. G := (A + B) * C - (D + E) * F. Mērķa mašīnai ir viens akumulators un vienas adreses instrukciju kopa, kas sastāv no instrukcijām ielādei, saglabāšanai, saskaitīšanai, atņemšanai un reizināšanai. Aritmētiskajām darbībām kreisais operands tiek ņemts no akumulatora, un rezultāts parādās akumulatorā. Mazākais iespējamais instrukciju skaits iegūtajā kodā ir –;5,;6,;7,;9.;D;D;TRUE
5. Apsveriet datora dizainu, kurā vairāki procesori, katram ar privātu kešatmiņu, koplieto globālo atmiņu, izmantojot vienu kopni. Šī kopne ir kritiskais sistēmas resurss. Katrs procesors var izpildīt vienu instrukciju ik pēc 500 nanosekundēm, ja vien atmiņas atsauces tiek apmierinātas ar tā lokālo kešatmiņu. Kad rodas kešatmiņas kļūme, procesors tiek aizkavēts vēl par 2000 nanosekundēm. Pusi no šīs papildu aizkaves kopne ir paredzēta kešatmiņas kļūmes apkalpošanai. Otrajā pusē procesors nevar turpināt darbu, bet kopne ir brīva, lai apkalpotu pieprasījumus no citiem procesoriem. Vidēji katrai instrukcijai ir nepieciešamas 2 atmiņas atsauces. Vidēji kešatmiņas kļūmes rodas 1 procentam atsauču. Kādu kopnes jaudas daļu patērētu viens procesors, ignorējot kavēšanos, ko rada konkurence no citiem procesoriem?;1/50,;1/27,;1/25,;2/27.;B;B;TRUE
2. Dotā populācijā 1 no katriem 400 cilvēkiem ir vēzis, ko izraisa pilnīgi recesīva alēle, b. Pieņemot, ka populācija atrodas Hārdija-Veinberga līdzsvarā, kura no tālāk minētajām ir paredzamā to indivīdu proporcija, kuriem ir b alēle, bet kuriem nav paredzams saslimt ar vēzi?;1/400,;19/400,;20/400,;38/400.;D;D;TRUE
3. Holomolu struktūru klātbūtne divos dažādos organismos, piemēram, cilvēka un putna priekšējās ekstremitātes pleca kaulā, norāda, ka –;cilvēks un putns ir polifilētiskas sugas;cilvēka un putna evolūcija ir konverģenta;cilvēks un putns pieder pie klades;cilvēks un putns attīstījās pēc analoģijas;C;C;TRUE
4. Saskaņā ar floēmas satura kustības spiediena-plūsmas modeli fotosintāta kustību no avota uz notekcauruli virza;ATP atkarīgs spiediena-plūsmas sūknis,;ūdens spiediena potenciāla gradients,;transpirācija,;apoplastiska difūzija.;B;B;TRUE
5. Kuri no tālāk minētajiem satur DNS sekvences, kas nepieciešamas hromosomu segregācijai mitozē un mejozē?;Telomēras,;Centromēras,;Nukleosomas,;Spliceosomas.;B;B;TRUE
1. Enerģiju visu veidu muskuļu kontrakcijām nodrošina:;ATF,;ADP,;fosfokreatīns,;oksidatīvā fosforilēšana.;A;A;TRUE
2. Kāda ir atšķirība starp vīriešu un sieviešu katetru?;Vīriešu un sieviešu katetri ir dažādās krāsās.;Vīriešu katetri ir garāki nekā sieviešu katetri.;Vīriešu katetri ir lielāki nekā sieviešu katetri.;Sieviešu katetri ir garāki nekā vīriešu katetri.;B;B;TRUE
3. Novērtējot rokas funkciju, kurš no tālāk minētajiem apgalvojumiem ir patiess?;Īkšķa abdukciju nodrošina mugurkaula sakne T2,;Īkšķa opozīciju nodrošina opponens policis,;Stumbra sakne T1,;Pirkstu pievilkšanu nodrošina mediālais nervs,;B;B;TRUE
4. Cik mēģinājumus pacientam vajadzētu veikt, pirms darbu nodot vecākajam kolēģim, saskaņā ar 2020. gada medicīnas zināšanām?;4,;3,;2,;1.;C;C;TRUE
5. Glikolīze ir nosaukums, kas dots ceļam, kurā notiek: glikogēna pārvēršana par-;glikozes-1-fosfātu,;glikogēna vai glikozes pārvēršana par fruktozi,;glikogēna vai glikozes pārvēršana par piruvātu vai laktātu,;glikogēna vai glikozes pārvēršana par piruvātu vai acetilkoenzīmu A.;C;C;TRUE
"1. Papildus KSA ieviešanas biznesa pamatojumam pastāv vairāki morāli argumenti, kas saistīti ar: negatīvo ____ , korporāciju ____ un uzņēmējdarbības un sabiedrības ____.""";"Ārējie faktori, vara, neatkarība"",";"""Publicitāte, nenozīmīgi resursi, savstarpēja atkarība"",";"""Publicitāte, vara, neatkarība"",";"""Ārējie faktori, vara, savstarpēja atkarība"".";D;D;TRUE
"2. ""____ ir tiešs mēģinājums formāli vai neformāli pārvaldīt ētikas jautājumus vai problēmas, izmantojot īpašas politikas, praksi un programmas.";Korporatīvā sociālā atbildība,;Uzņēmējdarbības ētikas vadība,;Ilgtspējība,;Vides pārvaldība.;B;B;TRUE
3. Lai nodrošinātu valdes locekļu bez izpildpilnvarām neatkarību, var veikt vairākus pasākumus, tostarp valdes locekļu bez izpildpilnvarām atlasi no uzņēmuma _____, iecelšanu uz ______ laika periodu, kā arī iecelšanu _____.;"""Ārpus, Ierobežoti, Neatkarīgi"",";"""Iekšpusē, Ierobežoti, Periodiski"",";"""Ārpus, Neierobežoti, Periodiski"",";"""Iekšpusē, Neierobežoti, Neatkarīgi"".";A;A;TRUE
4. Trīs kontrastējošas taktikas, ko pilsoniskās sabiedrības organizācijas var izmantot savu mērķu sasniegšanai, ir _____, kas parasti ietver izpēti un komunikāciju, ____, kas var ietvert fizisku uzbrukumu uzņēmuma darbībai, vai ____, kas bieži vien ietver kāda veida ____.;"""Nevardarbīga tieša darbība, Vardarbīga tieša darbība, Netieša darbība, Boikots"",";"""Netieša darbība, Instrumentāla darbība, Nevardarbīga tieša darbība, Informācijas kampaņa"",";"""Netieša darbība, Vardarbīga tieša darbība, Nevardarbīga tieša darbība, Boikots"",";"""Nevardarbīga tieša darbība, Instrumentāla darbība, Netieša darbība, Informācijas kampaņa"".";C;C;TRUE
5. Atšķirībā no _____, _____mērķis ir atalgot uzņēmumu labvēlīgu rīcību. Šādu kampaņu panākumus ir pastiprinājusi _______ izmantošana, kas ļauj kampaņām palīdzēt uzņēmumam sasniegt _______.;"""Pirkšanas, boikoti, blokķēdes tehnoloģija, ziedojumi labdarībai"",";"""Pirkšanas, boikoti, digitālās tehnoloģijas, palielināti pārdošanas apjomi"",";"""Boikoti, pirkšanas, blokķēdes tehnoloģija, ziedojumi labdarībai"",";"""Boikoti, pirkšanas, digitālās tehnoloģijas, palielināti pārdošanas apjomi"".";D;D;TRUE
1. Jūs stumjat kravas automašīnu pa ceļu. Vai uz Marsa būtu vieglāk paātrināt šo kravas automašīnu? Kāpēc? (Pieņemot, ka nav berzes);Tas būtu grūtāk, jo kravas automašīna uz Marsa ir smagāka.;Tas būtu vieglāk, jo kravas automašīna uz Marsa ir vieglāka.;Tas būtu grūtāk, jo kravas automašīna uz Marsa ir vieglāka.;Tas būtu tas pats neatkarīgi no tā, kur jūs atrodaties.;D;D;TRUE
2. No kurienes rodas lielākā daļa īsperioda komētu un kā mēs to zinām?;"Kuipera josta; īsperioda komētas parasti atrodas Saules sistēmas plaknē, tāpat kā Kuipera josta.";"Kuipera josta; īsperioda komētas parasti nāk no nejaušiem virzieniem, kas norāda uz komētu sfērisku sadalījumu, ko sauc par Kuipera joslu.";"Asteroīdu josta; īsperioda komētām ir līdzīgs orbitālais periods kā asteroīdiem, piemēram, Vestai, un tās atrodas Saules sistēmas plaknē, tāpat kā asteroīdu josta.";"Orta mākonis; īsperioda komētas parasti atrodas Saules sistēmas plaknē, tāpat kā Orta mākonis.";A;A;TRUE
3. Pieņemsim, ka jūsu acs zīlītes diametrs ir 5 mm, un jums ir teleskops ar 50 cm atvērumu. Cik daudz vairāk gaismas teleskops var savākt nekā jūsu acs?;10 000 reižu vairāk,;100 reižu vairāk,;1000 reižu vairāk,;10 reižu vairāk.;A;A;TRUE
4. Kāpēc asteroīdu jostas vietā nav planētas?;Šeit reiz izveidojās planēta, bet tā sadalījās katastrofālas sadursmes rezultātā.;Šajā Saules miglāja daļā nebija pietiekami daudz materiāla, lai izveidotu planētu.;Tur bija pārāk daudz akmeņaina materiāla, lai izveidotu Zemes grupas planētu, bet nebija pietiekami daudz gāzveida materiāla, lai izveidotu Jupitera grupas planētu.;Rezonanse ar Jupiteru neļāva materiālam uzkrāties, lai izveidotu planētu.;D;D;TRUE
5. Kāpēc Marss ir sarkans?;"Tāpēc, ka virsma ir klāta ar stipri oksidētiem (""sarūsējušiem"""") minerāliem.";Tāpēc, ka atmosfēra izkliedē vairāk gaismas zilākos viļņu garumos, pārraidot galvenokārt sarkanu gaismu.;Tāpēc, ka Marsu klāj senas lavas plūsmas, kas ir sarkanā krāsā.;Tāpēc, ka plūstošais ūdens uz Marsa virsmas pirms vairākiem miljardiem gadu mainīja virsmas minerālus.;A;A;TRUE
1. Kā sabiedrisko attiecību mediju speciālistam rīkoties, ja viņš nezina atbildi uz reportiera jautājumu?;Sniegt reportierim citu informāciju, par kuras pareizību viņš ir pārliecināts.;"Sakot, ka informācija ir ""neoficiāla"" un tiks izplatīta vēlāk.";"Sakot ""es nezinu"" un solīt sniegt informāciju vēlāk.";"Sakot ""bez komentāriem"", nevis izlikties neinformēts.";C;C;TRUE
2. Problēmu pārvaldībā, kāda ir visaktīvākā pieeja, lai risinātu negatīvu vai maldinošu informāciju, kas publicēta tiešsaistē par jūsu organizāciju?;Iegādāties domēna vārdus, kurus varētu izmantot opozīcijas grupas.;Publicēt anonīmus komentārus emuāros, lai cīnītos pret šo informāciju.;Sagatavot preses relīzi, kas diskreditē neprecīzo informāciju.;Veikt politikas izmaiņas, lai risinātu šajās vietnēs izceltās sūdzības.;D;D;TRUE
3. Kurš no šiem apgalvojumiem atbilst patiesībai par Vatikānu 2010. gadā, kad tika izvirzītas apsūdzības par bērnu ļaunprātīgas izmantošanas slēpšanu?;Bija koordinēta mediju reakcija.;Tika sniegti konsekventi vēstījumi.;Kritika tika uztverta kā uzbrukumi katoļu baznīcai.;Tika atbalstīta Vatikāna ticamība.;C;C;TRUE
4. Kurā plānošanas procesa posmā tiktu veikta situācijas analīze?;Programmas definēšana,;Programmas plānošana,;Rīcība un ideju īstenošana,;Programmas izvērtēšana;A;A;TRUE
"5. Kura organizācija uzsāka kampaņu ""Zemes stunda""?";Greenpeace,;ANO,;Oxfam,;Pasaules Dabas fonds.;D;D;TRUE
1. Nevalstiska bezpeļņas organizācija Box gada laikā veica šādus darījumus: Ieņēmumi no ieguldījumu pārdošanas 80 000 USD Ilgtermiņa iekārtu iegāde 10 000 USD Ieņēmumi no ilgtermiņa parāda 100 000 USD Zaudējumi no ieguldījumu pārdošanas 5000 USD Kāda summa jāuzrāda kā neto nauda no finansēšanas darbībām Box naudas plūsmas pārskatā?;70 000 USD,;75 000 USD,;80 000 USD;100 000 USD.;D;D;TRUE
2. Pirms simts gadiem jūsu vecvecvecmāmiņa ieguldīja 100 USD ar 5% gada procentu likmi. Cik šis ieguldījums ir vērts šodien?;13 000 USD,;600 USD,;15 000 USD,;28 000 USD.;A;A;TRUE
3. Krete ir neprecēta nodokļu maksātāja, kuras ienākumi ir tikai no algas. Līdz 1. gada 31. decembrim Kretes darba devējs ir ieturējis 16 000 ASV dolāru federālos ienākuma nodokļos, un Krete nav veikusi aprēķinātos nodokļu maksājumus. 2. gada 15. aprīlī Krete savlaicīgi iesniedza pagarinājuma pieprasījumu savas individuālās nodokļu deklarācijas iesniegšanai un samaksāja papildu nodokļus 300 ASV dolāru apmērā. Kretes 1. gada nodokļu saistības bija 16 500 ASV dolāru, kad viņa savlaicīgi iesniedza deklarāciju 2. gada 30. aprīlī un samaksāja atlikušo nodokļu saistību atlikumu. Kāda summa būtu pakļauta soda naudai par aprēķināto nodokļu nepietiekamu samaksu?;0 ASV dolāru,;500 ASV dolāru,;1650 ASV dolāru,;16 500 ASV dolāru.;A;A;TRUE
"4. 1. gada 1. janvārī uzņēmums ""Alpha Co."" parakstīja ikgadēju apkopes līgumu ar programmatūras piegādātāju par 15 000 ASV dolāru, un apkopes periods sākas 2. gada 1. martā. Uzņēmums ""Alpha"" 1. gada 1. janvārī arī radīja 5000 ASV dolāru izmaksas saistībā ar programmatūras modifikāciju pieprasījumiem, kas palielinās programmatūras funkcionalitāti. Uzņēmums ""Alpha"" piecu gadu laikā nolieto un amortizē savus datoru un programmatūras aktīvus, izmantojot lineāro metodi. Kāda ir kopējā izdevumu summa, kas uzņēmumam ""Alpha"" jāatzīst saistībā ar apkopes līgumu un programmatūras modifikācijām par gadu, kas beidzās 1. gada 31. decembrī?";5000 ASV dolāru,;13 500 ASV dolāru,;16 000 ASV dolāru,;20 000 ASV dolāru.;B;B;TRUE
5. Auditors izseko iekārtu sērijas numurus līdz neizdevēja apakšgrāmatai. Kuru no tālāk minētajiem vadības apgalvojumiem apstiprina šis tests?;Novērtēšana un piešķiršana,;Pilnīgums,;Tiesības un pienākumi,;Prezentācija un izpaušana.;B;B;TRUE
1. Kohortas pētījumā, salīdzinot tējas patērētājus (tie, kas bija pakļauti tējas iedarbībai) ar tiem, kas to nedzēra (tie, kas nebija pakļauti tējas iedarbībai), diabēta attīstības riska attiecība bija 0,86. Kurš no apgalvojumiem ir pareizs (saskaņā ar 2020. gada zināšanām)?;Tējas dzērājiem ir zemāks diabēta attīstības risks.;Tējas dzērājiem ir augstāks diabēta attīstības risks.;Pamatojoties uz sniegto informāciju, mēs nevaram pateikt, vai novērotā slimības riska atšķirība ir nejaušības rezultāts.;Riska attiecība ir tuvu vērtībai viens, tāpēc starp abām grupām nav atšķirības slimības riskā.;C;C;TRUE
2. Kurš no tālāk minētajiem apgalvojumiem ir pareizs?;Patērētājiem ar fenilketonūriju jāizvairās no saldinātāja aspartāma lietošanas,;Patērētājiem ar fenilketonūriju jāizvairās no saldinātāja saharīna lietošanas,;Patērētājiem ar fenilketonūriju jāizvairās no saldinātāja sukralozes lietošanas,;Patērētājiem ar fenilketonūriju jāizvairās no saldinātāja acesulfāma K lietošanas.;A;A;TRUE
3. Kurš no tālāk minētajiem ir ticamākais skaidrojums uztura šķiedrvielu aizsargājošajai iedarbībai pret resnās zarnas vēzi, sākot ar 2020. Gadu?;Propionskābe, kas veidojas resnās zarnas šķiedru fermentācijas laikā, kavē aknu taukskābju sintēzi,;"Sviestskābe, kas veidojas resnās zarnas šķiedru fermentācijas laikā, stimulē SLC5A8 audzēja nomācošā gēna ""apklusināšanu"",";Neviens no šiem variantiem nav pareizs,;Sviestskābe, kas veidojas resnās zarnas šķiedru fermentācijas laikā, stimulē antioksidantu aizsardzību resnajā zarnā.;D;D;TRUE
4. Kurš no tālāk minētajiem apgalvojumiem par jodu ir pareizs?;50% pieaugušo patērē jodu līmeņos, kas ir zemāki par ieteicamo dienas devu (RID),;piena produkti ir slikts joda avots,;joda saturs bioloģiskajā pienā parasti ir zemāks nekā nebioloģiskajā pienā,;Apvienotās Karalistes uztura atsauces vērtības iesaka palielināt joda uzņemšanu grūtniecības laika;C;C;TRUE
5. Kādas ir pirmās izvēles zāles pacientiem ar 2. tipa cukura diabētu un aptaukošanos?;akarboze,;metformīns,;sulfonilurīnvielas preparāti,;insulins.;B;B;TRUE
1. Kādus spēka veidus aizliedz ANO Hartas 2.(4) pants?;2.(4) pants aptver tikai bruņotu spēku,;2.(4) pants aptver visu veidu spēku, tostarp sankcijas,;2.(4) pants aptver visu veidu iejaukšanos valstu iekšlietās,;2.(4) pants aptver spēku, kas vērsts tikai pret valsts teritoriālo integritāti.;A;A;TRUE
2. Kas ir ad hoc tiesnesis?;Ja strīdus lietas dalībniekam Starptautiskajā Tiesā nav valsts mēroga tiesneša, tai ir tiesības izvirzīt kādu par tiesnesi tikai šai lietai ar ad hoc tiesneša titulu,;Ad hoc tiesnesis ir Starptautiskās Tiesas sastāva loceklis ar izšķirošo balsi,;Ad hoc tiesnesis ir aizvietotājstiesnesis gadījumā, ja tiesnesis tiek diskvalificēts vai mirst,;Ad hoc tiesnesis ir tiesnesis, kuru katra puse vienmēr izvirzīs katrā strīdus lietā.;A;A;TRUE
3. Vai mūsdienu praksē būtu pieņemama atruna attiecībā uz spīdzināšanas definīciju ICCPR?;Šī ir pieņemama atruna, ja atrunu izteikušās valsts tiesību aktos tiek izmantota cita definīcija,;Šī ir nepieņemama atruna, jo tā ir pretrunā ar ICCPR mērķi,;Šī ir nepieņemama atruna, jo spīdzināšanas definīcija ICCPR atbilst starptautiskajām paražu tiesībām,;Šī ir pieņemama atruna, jo saskaņā ar vispārējām starptautiskajām tiesībām valstīm ir tiesības izdarīt atrunas līgumiem.;B;B;TRUE
4. Kad “piekrišana” var kalpot kā apstāklis, kas izslēdz valsts rīcības nelikumīgumu?;Piekrišana var kalpot kā apstāklis, kas izslēdz nelikumīgumu, kad vien tā tiek dota,;Piekrišana nekad nevar kalpot kā apstāklis, kas izslēdz nelikumīgumu,;Piekrišana var kalpot kā apstāklis, kas izslēdz nelikumīgumu, ar nosacījumu, ka piekrišana ir derīga un ciktāl rīcība paliek dotās piekrišanas robežās,;Piekrišana vienmēr var kalpot kā apstāklis, kas izslēdz nelikumīgumu, neatkarīgi no tā, kura valsts iestāde to sniedz.;C;C;TRUE
