GBT-4o(vienkāršs): ;GBT-4o(sarežģīts):;Cloud3.5 Sonnet(vienkāršs);Cloud3.5 Sonnet(sarežģīts);DeepseeV3(vienkāršs);DeepseeV3(sarežģīts);Gemini2.0 Flash(vienkāršs);Gemini2.0 Flash(sarežģīts);Tēma
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas pasaules vēstures pārbaudes darbs
TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Cilvēka novecošanās
FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Cilvēka novecošanās
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;Koledžas datorzinātņu tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātņu tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātņu tests
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātņu tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas datorzinātņu tests
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;Koledžas datorzinātņu tests
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Koledžas datorzinātņu tests
